result_id,retailer,retailer_type,attribute,rule_type,deviation_percent,page_type,verdict,verdict_reason,created_at
"579673f7-24a5-4c87-a9db-40edcd69ee60","Publix-US","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:43.218Z"
"da792e05-ba7b-4bd1-95db-a14ccbd1c227","Zooplus","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:48.081Z"
"a74f2f15-e3b2-42dd-b0c7-3f39e0570575","Swiggy-Instamart-APP-IN","app","extract.promotionText","historic","20.03","detail","anomaly","Standard","2024-05-03T04:31:52.678Z"
"d5c19cc6-0a21-4504-af04-d48f2b52ebc3","Pet-Express-PH","web","extract.promotionText","historic","27.33","detail","anomaly","Standard","2024-05-03T04:31:54.425Z"
"73516201-8447-42c4-bbc3-adf5e666ce71","Babies-R-Us-CA","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:32.470Z"
"1fd938d8-fc0d-4289-b984-aa0503250925","LazMart-PH","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:34.178Z"
"4d565960-2bb2-436d-8920-73dfa188eed2","Rei-US","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:37.581Z"
"43f3b0e0-1e06-449a-883e-6eb9286c8617","Kohls-US","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:38.014Z"
"3ec7587e-bdfe-4299-85ea-e4030a31ff74","LazMall-TH","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:38.501Z"
"950c2eb1-8903-4d3a-8fcd-26b0d49896e2","Lazada-PH","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:38.785Z"
"239428b8-127e-45ad-a784-ca36118476cb","NormanGoodfellows-ZA","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:39.019Z"
"68e7479e-2db6-43b0-a58a-5977284a6f3f","Nordstrom-US","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:39.451Z"
"4d970df7-aeb0-4476-b67e-6f91d6b133d1","Tokopedia-Coke-Store-ID","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:39.600Z"
"43bce0ed-1985-4ad2-9270-e7fa8b2fdb36","Petvalu-CA","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:39.619Z"
"48ffd229-8ea7-4b0f-bd26-aae5588b63f9","Novapet-CL","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:39.998Z"
"21443402-604b-4bc4-9483-9f5e34ebe9e9","North-Yarmoth-Veterinary-Hospital-US","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:39.985Z"
"95dca372-3d25-465b-863d-8ab11773f952","Toys-R-Us-CA","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:40.262Z"
"95b735cd-b2c8-4b57-99b6-abfdeb04e970","MartinSevera-SE","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:41.512Z"
"8d0ce3e1-8049-44b5-a687-0daa6f980257","PetDrugsOnline-UK","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:43.234Z"
"e359c069-e5a7-42ed-9585-5a4f0efd1500","Cobasi-BR","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:43.254Z"
"b729d6d2-9eb5-448b-846d-d7f6d93825f3","PetPlace-NL","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:43.464Z"
"84d48de9-e80d-46bd-bea0-1afb054c82c2","Macys-US","web","extract.productNo","condition","13.44","search","anomaly","Standard","2024-05-03T04:30:43.706Z"
"41311460-44af-48aa-8ebc-bb577b023cc3","Williams-Sanoma-US","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:43.998Z"
"236555de-d079-432b-91df-fa433ae8bc6c","Sayurbox-APP-ID","app","extract.productNo","condition","15.62","search","anomaly","Standard","2024-05-03T04:30:44.361Z"
"8c9e2613-5cc9-4c69-9193-55af30a9b986","PetXL-NO","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:44.445Z"
"217b8f66-b1cc-4fca-b937-e11368b3a587","PetSupermarket-US","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:44.566Z"
"2f9ca883-ab0e-496d-a64e-85175de11d5a","Coupang-KR","web","extract.sponsored","historic","20.52","search","anomaly","Standard","2024-05-03T04:30:45.362Z"
"3e518178-f8b2-48ff-93ff-bacd274e776c","PetSuppliesPlus-US","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:46.357Z"
"756aba33-0caf-4585-a82c-c8fa714adeb0","KRuoka-SuperMarket-FI","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:47.554Z"
"92941c45-ff23-4fda-a2d9-6bcf1e67eeda","Bed-Bath-Beyond-US","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:48.344Z"
"226e8f3a-10b4-4736-95c4-26403bb97e8e","Pet-Warehouse-PH","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:48.470Z"
"fa22570a-a305-4cd1-b2a0-00aa76c9bb13","Peppy-JP","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:49.911Z"
"d8b23e54-3973-4094-9148-8be03be29bf6","Petz-BR","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:30:50.012Z"
"eb8e3069-0524-4697-b0a6-e912560ef20a","Target-APP-US","app","extract.productNo","condition","11.12","search","anomaly","Standard","2024-05-03T04:30:50.639Z"
